,Table 2 Distribution of head of agricultural households by sex,,,,,,
,,"Number of Agricultural Households, '000",,,Percentage of Agricultural households,,
Zone,State,Male Head,Female Head,All, Male Head,Female Head,All
North Central,Benue,"1,506.9",326.3,"1,833",82.2,17.8,100.0
North Central,Fct,506.1,61.1,567,89.2,10.8,100.0
North Central,Kogi,684.9,215.7,901,76.0,24.0,100.0
North Central,Kwara,688.7,99.2,788,87.4,12.6,100.0
North Central,Nasarawa,702.7,75.3,778,90.3,9.7,100.0
North Central,Niger,"1,396.5",53.6,"1,450",96.3,3.7,100.0
North Central,Plateau,"1,271.5",166.5,"1,438",88.4,11.6,100.0
North Central,Zone total,"6,757.3",997.7,"7,755",87.1,12.9,100.0
North East,Adamawa,"1,066.1",118.5,"1,185",90.0,10.0,100.0
North East,Bauchi,"1,909.2",33.0,"1,942",98.3,1.7,100.0
North East,Borno,885.5,160.0,"1,045",84.7,15.3,100.0
North East,Gombe,514.8,17.7,533,96.7,3.3,100.0
North East,Taraba,884.0,93.3,977,90.5,9.5,100.0
North East,Yobe,716.6,46.6,763,93.9,6.1,100.0
North East,Zone total,"5,976.2",469.2,"6,445",92.7,7.3,100.0
North West,Jigawa,"1,158.2",29.1,"1,187",97.5,2.5,100.0
North West,Kaduna,"1,884.7",111.9,"1,997",94.4,5.6,100.0
North West,Kano,"2,292.0",76.9,"2,369",96.8,3.2,100.0
North West,Katsina,"1,438.9",56.1,"1,495",96.2,3.8,100.0
North West,Kebbi,"1,135.1",40.3,"1,175",96.6,3.4,100.0
North West,Sokoto,"1,223.3",27.3,"1,251",97.8,2.2,100.0
North West,Zamfara,863.5,23.8,887,97.3,2.7,100.0
North West,Zone total,"9,995.7",365.5,"10,361",96.5,3.5,100.0
South East,Abia,647.6,263.6,911,71.1,28.9,100.0
South East,Anambra,661.6,410.6,"1,072",61.7,38.3,100.0
South East,Ebonyi,563.4,323.5,887,63.5,36.5,100.0
South East,Enugu,565.2,344.1,909,62.2,37.8,100.0
South East,Imo,827.0,364.7,"1,192",69.4,30.6,100.0
South East,Zone total,"3,264.9","1,706.5","4,971",65.7,34.3,100.0
South South,Akwa Ibom,939.3,339.4,"1,279",73.5,26.5,100.0
South South,Bayelsa,228.7,106.0,335,68.3,31.7,100.0
South South,Cross River,574.6,230.9,806,71.3,28.7,100.0
South South,Delta,618.1,331.7,950,65.1,34.9,100.0
South South,Edo,419.6,183.3,603,69.6,30.4,100.0
South South,Rivers,940.7,380.8,"1,321",71.2,28.8,100.0
South South,Zone total,"3,720.9","1,572.2","5,293",70.3,29.7,100.0
South West,Ekiti,354.8,122.8,478,74.3,25.7,100.0
South West,Lagos,528.8,235.9,765,69.2,30.8,100.0
South West,Ogun,956.9,224.4,"1,181",81.0,19.0,100.0
South West,Ondo,555.6,198.4,754,73.7,26.3,100.0
South West,Osun,729.1,183.6,913,79.9,20.1,100.0
South West,Oyo,"1,068.5",236.2,"1,305",81.9,18.1,100.0
South West,Zone total,"4,193.6","1,201.3","5,395",77.7,22.3,100.0
Nigeria,Total,"33,908.6","6,312.4","40,221",84.3,15.7,100.0
,Note: The numbers presented are for Agricultural Households,,,,,,
